state,sex,year_start,year_end,ppd_start,ppd_end,aari
Hawaii,Female,2019,2023,0.13023798709783,0.141997697875705,-0.0213799869393898
Idaho,Male,2019,2023,0.225916302889501,0.24210777143143,-0.0171557289476121
Idaho,Female,2019,2023,0.150029134122245,0.159974377045635,-0.0159179871951793
Illinois,Male,2019,2023,0.259533904327146,0.269570356468104,-0.00944067254292924
Illinois,Female,2019,2023,0.164123196359839,0.164409317940464,-0.000435359291898862
Indiana,Male,2019,2023,0.301225624936194,0.312106355411251,-0.00883187879017489
Indiana,Female,2019,2023,0.19945735728232,0.205906030659394,-0.00792330317291823
Iowa,Male,2019,2023,0.252797200763497,0.260936897962998,-0.00789145233899558
Iowa,Female,2019,2023,0.161067540837939,0.170697586947522,-0.0144125572881959
Kansas,Male,2019,2023,0.271049229258272,0.282714073117881,-0.0104786084223684
Kansas,Female,2019,2023,0.181008156716989,0.190104037553236,-0.012182533043156
Kentucky,Male,2019,2023,0.347575533640315,0.364150614108802,-0.0115788315145208
Kentucky,Female,2019,2023,0.232677643425689,0.248746069408967,-0.0165560625495963
Louisiana,Male,2019,2023,0.344039068400974,0.371325210776308,-0.0188998735458791
Louisiana,Female,2019,2023,0.224400186263217,0.232209762089652,-0.00851605778815634
Maine,Male,2019,2023,0.261585272610792,0.28383878347565,-0.0202046181322354
Maine,Female,2019,2023,0.155858289177808,0.180009790031884,-0.0353751519198223
Maryland,Male,2019,2023,0.267499681268741,0.268649332186699,-0.00107156460004743
Maryland,Female,2019,2023,0.166663815491139,0.165310612544032,0.002040202905081
Massachusetts,Male,2019,2023,0.221689740317173,0.219725556314458,0.00222736237243648
